body_part,equipment,name,muscle_group,difficulty,id
legs,barbell,barbell full squat (back pov),glutes,9.0,1
chest,body weight,full planche push-up,pectorals,9.0,2
legs,barbell,barbell deadlift,glutes,9.0,3
legs,barbell,barbell high bar squat,glutes,9.0,4
legs,barbell,barbell full squat,glutes,9.0,5
legs,barbell,barbell low bar squat,glutes,9.0,6
abs,body weight,full planche,abs,9.0,7
abs,body weight,full maltese,abs,9.0,8
back,body weight,kipping muscle up,lats,9.0,9
legs,barbell,barbell full squat (side pov),glutes,9.0,10
shoulders,barbell,barbell thruster,delts,8.0,11
back,body weight,one arm chin-up,lats,8.0,12
legs,barbell,barbell sumo deadlift,glutes,8.0,13
legs,barbell,barbell straight leg deadlift,hamstrings,8.0,14
legs,barbell,barbell full zercher squat,glutes,8.0,15
chest,barbell,barbell wide bench press,pectorals,8.0,16
chest,barbell,barbell wide reverse grip bench press,pectorals,8.0,17
legs,barbell,barbell front squat,glutes,8.0,18
arms,body weight,impossible dips,triceps,8.0,19
legs,barbell,barbell rack pull,glutes,8.0,20
back,body weight,muscle up,lats,8.0,21
back,body weight,muscle-up (on vertical bar),lats,8.0,22
back,body weight,back lever,upper back,8.0,23
chest,barbell,barbell decline bench press,pectorals,8.0,24
legs,barbell,barbell squat jump step rear lunge,quads,8.0,25
legs,barbell,barbell squat (on knees),quads,8.0,26
legs,barbell,barbell speed squat,glutes,8.0,27
shoulders,barbell,barbell skier,delts,8.0,28
legs,barbell,barbell clean-grip front squat,glutes,8.0,29
legs,barbell,barbell narrow stance squat,glutes,8.0,30
legs,barbell,barbell clean and press,quads,8.0,31
cardio,body weight,jack burpee,cardiovascular system,8.0,32
cardio,body weight,jack jump (male),cardiovascular system,8.0,33
legs,barbell,barbell bench squat,quads,8.0,34
chest,barbell,barbell bench press,pectorals,8.0,35
legs,barbell,barbell romanian deadlift,glutes,8.0,36
legs,barbell,barbell wide squat,quads,8.0,37
cardio,body weight,burpee,cardiovascular system,8.0,38
arms,body weight,handstand push-up,triceps,8.0,39
arms,barbell,barbell jm bench press,triceps,8.0,40
abs,body weight,lean planche,abs,8.0,41
back,body weight,archer pull up,lats,8.0,42
shoulders,barbell,barbell one arm snatch,delts,8.0,43
legs,kettlebell,kettlebell turkish get up (squat style),glutes,8.0,44
back,body weight,close grip chin-up,lats,8.0,45
legs,barbell,barbell overhead squat,quads,8.0,46
back,rope,rope climb,upper back,8.0,47
arms,barbell,barbell incline close grip bench press,triceps,8.0,48
legs,barbell,barbell jefferson squat,glutes,8.0,49
chest,barbell,barbell incline bench press,pectorals,8.0,50
back,body weight,l-pull-up,lats,8.0,51
abs,body weight,front lever,abs,8.0,52
legs,barbell,barbell hack squat,glutes,8.0,53
legs,barbell,power clean,hamstrings,8.0,54
chest,barbell,barbell guillotine bench press,pectorals,8.0,55
legs,cable,cable deadlift,glutes,8.0,56
legs,barbell,barbell zercher squat,glutes,8.0,57
legs,barbell,barbell jump squat,glutes,8.0,58
legs,body weight,bodyweight drop jump squat,glutes,8.0,59
cardio,body weight,astride jumps (male),cardiovascular system,8.0,60
arms,cable,cable standing pulldown (with rope),biceps,7.0,61
chest,body weight,korean dips,pectorals,7.0,62
legs,cable,cable standing hip extension,glutes,7.0,63
chest,cable,cable standing fly,pectorals,7.0,64
shoulders,cable,cable standing cross-over high reverse fly,delts,7.0,65
back,cable,cable squat row (with rope attachment),lats,7.0,66
abs,cable,cable side bend crunch (bosu ball),abs,7.0,67
chest,body weight,chest tap push-up (male),pectorals,7.0,68
shoulders,cable,cable shoulder press,delts,7.0,69
chest,body weight,chest dip on straight bar,pectorals,7.0,70
chest,body weight,chest dip,pectorals,7.0,71
chest,body weight,chest dip (on dip-pull-up cage),pectorals,7.0,72
back,cable,cable underhand pulldown,lats,7.0,73
