id,sex,aim,age,height,weight,level,trainHands,trainLegs,trainBack,trainPress,trainChest,trainShoulders
1,m,weight loss,28,168,74,7,0,0,0,0,0,0
2,m,weight loss,24,174,83,6,0,0,0,0,0,0
3,m,weight loss,32,174,83,8,0,0,0,0,0,0
4,m,weight loss,20,178,89,3,0,0,0,0,0,0
5,m,weight loss,34,181,80,4,0,0,0,0,0,0
6,m,weight loss,32,167,85,2,0,0,0,0,0,0
7,m,weight loss,33,174,85,3,0,0,0,0,0,0
8,m,weight loss,27,173,76,8,0,0,0,0,0,0
9,m,weight loss,33,177,87,5,0,0,0,0,0,0
10,m,weight loss,22,175,86,3,0,0,0,0,0,0
11,m,weight loss,29,181,93,1,0,0,0,0,0,0
12,m,weight loss,23,164,71,6,0,0,0,0,0,0
13,m,weight loss,20,169,70,6,0,0,0,0,0,0
14,m,weight loss,25,176,82,6,0,0,0,0,0,0
15,m,weight loss,20,167,77,6,0,0,0,0,0,0
16,m,weight loss,23,177,82,7,0,0,0,0,0,0
17,m,weight loss,25,167,72,6,0,0,0,0,0,0
18,m,weight loss,28,172,80,6,0,0,0,0,0,0
19,m,weight loss,24,180,89,7,0,0,0,0,0,0
20,m,weight loss,23,174,79,7,0,0,0,0,0,0
21,m,weight loss,30,170,69,4,0,0,0,0,0,0
22,m,weight loss,32,170,80,4,0,0,0,0,0,0
23,m,weight loss,28,186,93,6,0,0,0,0,0,0
24,m,weight loss,30,175,86,2,0,0,0,0,0,0
25,m,weight loss,26,175,80,7,0,0,0,0,0,0
26,m,weight loss,21,178,73,5,0,0,0,0,0,0
27,m,weight loss,32,177,89,2,0,0,0,0,0,0
28,m,weight loss,19,177,90,2,0,0,0,0,0,0
29,m,weight loss,28,175,96,1,0,0,0,0,0,0
30,m,weight loss,35,167,73,7,0,0,0,0,0,0
31,m,weight loss,22,177,90,2,0,0,0,0,0,0
32,m,weight loss,25,170,75,6,0,0,0,0,0,0
33,m,weight loss,28,168,80,3,0,0,0,0,0,0
34,m,weight loss,28,169,76,8,0,0,0,0,0,0
35,m,weight loss,21,168,65,7,0,0,0,0,0,0
36,m,weight loss,29,176,84,7,0,0,0,0,0,0
37,m,weight loss,20,179,95,3,0,0,0,0,0,0
38,m,weight loss,32,176,87,2,0,0,0,0,0,0
39,m,weight loss,21,178,90,3,0,0,0,0,0,0
40,m,weight loss,30,181,91,6,0,0,0,0,0,0
41,m,weight loss,33,171,87,3,0,0,0,0,0,0
42,m,weight loss,25,168,70,6,0,0,0,0,0,0
43,m,weight loss,26,178,84,6,0,0,0,0,0,0
44,m,weight loss,21,180,86,7,0,0,0,0,0,0
45,m,weight loss,30,167,72,6,0,0,0,0,0,0
46,m,weight loss,33,181,90,2,0,0,0,0,0,0
47,m,weight loss,22,166,75,8,0,0,0,0,0,0
48,m,weight loss,28,181,89,6,0,0,0,0,0,0
49,m,weight loss,21,180,84,5,0,0,0,0,0,0
50,m,weight loss,21,169,80,2,0,0,0,0,0,0
51,m,weight loss,33,174,80,7,0,0,0,0,0,0
52,m,weight loss,23,180,94,2,0,0,0,0,0,0
53,m,weight loss,31,169,86,1,0,0,0,0,0,0
54,m,weight loss,30,178,90,2,0,0,0,0,0,0
55,m,weight loss,31,177,87,7,0,0,0,0,0,0
56,m,weight loss,26,171,87,2,0,0,0,0,0,0
57,m,weight loss,20,175,89,2,0,0,0,0,0,0
58,m,weight loss,33,175,95,3,0,0,0,0,0,0
59,m,weight loss,32,173,82,6,0,0,0,0,0,0
60,m,weight loss,32,180,88,6,0,0,0,0,0,0
61,m,weight loss,29,181,91,7,0,0,0,0,0,0
62,m,weight loss,26,174,92,1,0,0,0,0,0,0
63,m,weight loss,27,172,78,5,0,0,0,0,0,0
64,m,weight loss,24,179,98,2,0,0,0,0,0,0
65,m,weight loss,29,175,89,1,0,0,0,0,0,0
66,m,weight loss,31,176,88,2,0,0,0,0,0,0
67,m,weight loss,22,174,91,2,0,0,0,0,0,0
68,m,weight loss,32,174,75,6,0,0,0,0,0,0
69,m,weight loss,39,177,85,3,0,0,0,0,0,0
70,m,weight loss,34,170,79,6,0,0,0,0,0,0
71,m,weight loss,33,167,85,2,0,0,0,0,0,0
72,m,weight loss,18,173,81,7,0,0,0,0,0,0
73,m,weight loss,26,177,87,6,0,0,0,0,0,0
74,m,weight loss,26,180,95,3,0,0,0,0,0,0
75,m,weight loss,24,164,81,2,0,0,0,0,0,0
76,m,weight loss,36,170,87,3,0,0,0,0,0,0
77,m,weight loss,27,169,86,3,0,0,0,0,0,0
78,m,weight loss,35,170,71,8,0,0,0,0,0,0
79,m,weight loss,33,178,93,3,0,0,0,0,0,0
80,m,weight loss,31,181,86,4,0,0,0,0,0,0
81,m,weight loss,34,167,82,2,0,0,0,0,0,0
82,m,weight loss,28,168,88,2,0,0,0,0,0,0
83,m,weight loss,28,168,74,8,0,0,0,0,0,0
84,m,weight loss,27,173,79,8,0,0,0,0,0,0
85,m,weight loss,31,170,81,3,0,0,0,0,0,0
86,m,weight loss,27,182,96,1,0,0,0,0,0,0
87,m,weight loss,25,168,74,6,0,0,0,0,0,0
88,m,weight loss,35,183,94,2,0,0,0,0,0,0
89,m,weight loss,41,169,74,5,0,0,0,0,0,0
90,m,weight loss,19,172,83,1,0,0,0,0,0,0
91,m,weight loss,23,178,95,2,0,0,0,0,0,0
92,m,weight loss,22,174,83,6,0,0,0,0,0,0
93,m,weight loss,22,174,84,5,0,0,0,0,0,0
94,m,weight loss,30,180,87,7,0,0,0,0,0,0
95,m,weight loss,28,169,83,1,0,0,0,0,0,0
96,m,weight loss,26,165,72,5,0,0,0,0,0,0
97,m,weight loss,27,182,84,5,0,0,0,0,0,0
98,m,weight loss,23,179,88,4,0,0,0,0,0,0
99,m,weight loss,29,174,81,6,0,0,0,0,0,0
100,m,weight loss,39,173,83,6,0,0,0,0,0,0
101,m,weight loss,22,177,87,4,0,0,0,0,0,0
102,m,weight loss,28,176,88,2,0,0,0,0,0,0
103,m,weight loss,26,182,92,6,0,0,0,0,0,0
104,m,weight loss,27,176,82,4,0,0,0,0,0,0
105,m,weight loss,30,172,82,5,0,0,0,0,0,0
106,m,weight loss,26,171,85,3,0,0,0,0,0,0
107,m,weight loss,31,175,88,2,0,0,0,0,0,0
108,m,weight loss,29,173,85,3,0,0,0,0,0,0
109,m,weight loss,28,182,92,5,0,0,0,0,0,0
